track,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,labels,track_genre
1999,2.690849734,2.086376197,0.601310928,0.377534691,0.456172887,-0.670854084,-0.741760752,-0.615345642,0.952660763,-0.002345158,1,electro
23,1.724809418,-0.87128689,0.907358416,0.755421892,-0.187340355,-0.955715344,-0.253368236,-0.105258909,-0.868470158,0.059698058,0,other
9 Crimes,0.113506702,-1.084726495,-1.171964223,-0.482122495,-0.587488589,1.200884596,-0.741568136,-0.547779569,-1.066850433,0.629729061,0,rock
99 Luftballons,0.354018244,-0.352933566,-0.274825018,-0.184349311,0.084105231,-0.786631734,-0.741746749,-0.40225264,0.801891754,2.669131128,1,other
A Boy Brushed Red Living In Black And White,0.913198793,-0.639552463,1.207404972,0.932179475,1.141806996,-0.997178215,-0.741760752,-0.224056402,0.238491774,1.837386651,2,metal
A Burden to Bear,-1.300996415,-0.792009323,-1.446506823,-1.822101822,0.346190624,1.398671415,1.637906868,-0.461651387,-0.844664525,-1.696067644,3,other
A La Plage,-1.101640561,-0.121199138,-1.413801748,-1.101678937,-0.131179199,1.39625938,1.640398667,-0.387402954,0.666993168,0.559554315,3,other
A Little Less Conversation - JXL Radio Edit Remix,0.005297277,0.378859363,1.216406369,0.234560128,-0.210740837,-1.000928929,-0.051532553,-0.06070985,0.774118516,-0.128652537,1,rock
A Place for My Head,-0.418609509,0.482530028,1.135393799,0.733100969,2.967044556,-0.966569499,-0.741760752,3.740809906,0.28610304,0.518502626,2,other
ATTACK,-0.345756271,-1.176200611,1.039378901,1.1384972,0.07240499,-0.993005396,-0.739680101,4.193725346,-0.340778628,2.021080422,2,rock
Adagio For Strings,-0.218119317,-1.066431671,0.790340258,0.55284443,0.245568553,-0.99918744,0.332204425,0.39220559,-1.369181972,0.306294767,2,pop
Adjustments,-0.460787699,0.049552545,0.034222935,-0.07262404,-0.676410419,1.348018693,1.4111532,0.451604336,-0.221750463,0.625967781,3,jazz
Adrift,-0.842356529,-0.865188616,-0.589873903,-0.511923944,-0.479846374,0.197478293,1.545710322,-0.454226543,-1.334267043,-1.204127986,3,other
Afraid of Heights,0.237069626,0.116633564,1.384432441,1.031598074,0.22450812,-1.000897572,-0.74172811,1.535631454,1.512093138,1.126325542,2,pop
Africa,1.358833737,0.897212688,-0.46985528,-0.812472162,-0.582808493,-0.381409958,-0.741562655,-0.884124969,1.377194551,-0.926760421,1,other
After The Rain,-1.505257081,-0.41391631,-1.487913248,-1.874948117,-0.557067963,1.393847346,1.620464278,-0.305729678,-0.336811022,-0.76620748,3,rock
Afterlife,2.248202412,-0.194378431,1.261413353,0.860873174,0.43979255,-1.000231851,-0.741605763,0.39220559,0.024241078,-0.306686477,2,rock
Algo Rhythm,-0.003441916,-0.743223128,0.661320239,0.47924571,-0.653009938,-1.001274091,1.647874062,-0.335429051,0.774118516,1.123101588,0,rock
Alison,0.336332162,-1.49331088,-0.319832002,-0.088067706,-0.449425748,-0.978219625,1.343874639,-0.290879991,-0.372519472,-0.609594927,0,pop
Alive,-0.48526383,-0.182181882,0.952365399,0.884883248,-0.082038188,-0.995320949,-0.741760752,-0.868532798,-0.939887057,0.405520926,2,rock
All I Want,1.529895055,-2.042155577,-0.30783014,0.271480142,-0.287962426,-0.728742909,-0.511767746,-0.81061902,-0.900211002,2.458212851,0,other
All Mirrors,1.137286404,-0.578569719,0.478291839,0.47659133,-0.451765796,-0.994090811,-0.736951581,-0.112683753,-0.614543407,-0.485329386,0,pop
All These Things I Hate (Revolve Around Me),0.233235245,-0.218771529,1.048380297,0.944124185,-0.135859296,-0.928218152,-0.741760752,0.897094933,0.389260783,-0.880693691,2,metal
All in the Suit That You Wear,0.139500609,-0.578569719,1.357428251,1.009639112,0.105165664,-1.001256001,-0.695662479,1.075291171,0.786021332,0.15376589,2,rock
All of Me,0.938122269,-0.62125764,-0.796906027,0.51471788,-0.585148541,1.222592905,-0.741760752,-0.261180618,-0.213815252,0.048055999,0,deep-house
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,-0.645189467,1.299698799,0.859350966,0.254588632,-0.376884256,-0.456183024,0.387023993,3.369567743,0.587641058,0.194351897,1,other
Always,0.325260387,-0.98105583,1.129392868,0.834329373,0.100485568,-0.971875975,-0.741760752,0.035813113,-0.055111032,2.270220473,2,other
Ambre,0.26836776,-0.810304146,-1.41620212,-1.719908189,-0.538347578,1.391435312,1.61797248,-0.372553267,-0.102722298,0.966489035,3,other
Anaviosi,-0.584702108,-0.810304146,-1.552723304,-1.59961651,0.65507698,1.398671415,1.615480681,-0.52921746,-1.058915222,-1.807580653,3,pop
Anchor,0.725985145,-0.230968078,-0.520863195,-0.27978634,-0.594508734,0.819783163,1.403677804,-0.509170384,-1.086688461,-0.051850773,0,other
Andromeda,1.107889483,-0.371228389,-0.202813845,0.409025291,-0.702150949,-0.116086176,-0.738770594,1.401984275,-0.777215232,0.45438175,0,other
